rate_code,RatecodeID,rate_code_id
Standard rate,1,0
Standard rate,1,1
Standard rate,1,2
Standard rate,1,3
Newark,3,4
Standard rate,1,5
Standard rate,1,6
Standard rate,1,7
Standard rate,1,8
Standard rate,1,9
Standard rate,1,10
Standard rate,1,11
Standard rate,1,12
Standard rate,1,13
Standard rate,1,14
Standard rate,1,15
Standard rate,1,16
Standard rate,1,17
JFK,2,18
Standard rate,1,19
Standard rate,1,20
Standard rate,1,21
Standard rate,1,22
Standard rate,1,23
Standard rate,1,24
Standard rate,1,25
Standard rate,1,26
Standard rate,1,27
JFK,2,28
Standard rate,1,29
Standard rate,1,30
Standard rate,1,31
Standard rate,1,32
Standard rate,1,33
Standard rate,1,34
Standard rate,1,35
Standard rate,1,36
Standard rate,1,37
Standard rate,1,38
Standard rate,1,39
Standard rate,1,40
Standard rate,1,41
Standard rate,1,42
Standard rate,1,43
Standard rate,1,44
Standard rate,1,45
Standard rate,1,46
Standard rate,1,47
Standard rate,1,48
Standard rate,1,49
Standard rate,1,50
Standard rate,1,51
Standard rate,1,52
Standard rate,1,53
Standard rate,1,54
Standard rate,1,55
Standard rate,1,56
Standard rate,1,57
Standard rate,1,58
Standard rate,1,59
Standard rate,1,60
Standard rate,1,61
Standard rate,1,62
Standard rate,1,63
JFK,2,64
Standard rate,1,65
Standard rate,1,66
Standard rate,1,67
Standard rate,1,68
Standard rate,1,69
Standard rate,1,70
Standard rate,1,71
Standard rate,1,72
Standard rate,1,73
Standard rate,1,74
Standard rate,1,75
Standard rate,1,76
Standard rate,1,77
Standard rate,1,78
Standard rate,1,79
Standard rate,1,80
Standard rate,1,81
Standard rate,1,82
Standard rate,1,83
Standard rate,1,84
Standard rate,1,85
Standard rate,1,86
Standard rate,1,87
Standard rate,1,88
Standard rate,1,89
Standard rate,1,90
Standard rate,1,91
Standard rate,1,92
Standard rate,1,93
Standard rate,1,94
Standard rate,1,95
Standard rate,1,96
Standard rate,1,97
Standard rate,1,98
Standard rate,1,99
Standard rate,1,100
Standard rate,1,101
Standard rate,1,102
Standard rate,1,103
Standard rate,1,104
Standard rate,1,105
Standard rate,1,106
Standard rate,1,107
Standard rate,1,108
Standard rate,1,109
Standard rate,1,110
Standard rate,1,111
Standard rate,1,112
Standard rate,1,113
Standard rate,1,114
Standard rate,1,115
Standard rate,1,116
Standard rate,1,117
Standard rate,1,118
Standard rate,1,119
Standard rate,1,120
Standard rate,1,121
Standard rate,1,122
Standard rate,1,123
Standard rate,1,124
Standard rate,1,125
Standard rate,1,126
Standard rate,1,127
Standard rate,1,128
Negotiated fare,5,129
Standard rate,1,130
JFK,2,131
Standard rate,1,132
Standard rate,1,133
Standard rate,1,134
JFK,2,135
Standard rate,1,136
Standard rate,1,137
Standard rate,1,138
Standard rate,1,139
Standard rate,1,140
Standard rate,1,141
Standard rate,1,142
Standard rate,1,143
Standard rate,1,144
Standard rate,1,145
Standard rate,1,146
Standard rate,1,147
JFK,2,148
Standard rate,1,149
Standard rate,1,150
Standard rate,1,151
Standard rate,1,152
Standard rate,1,153
Standard rate,1,154
Standard rate,1,155
Standard rate,1,156
Standard rate,1,157
Standard rate,1,158
Standard rate,1,159
Standard rate,1,160
Standard rate,1,161
Standard rate,1,162
Standard rate,1,163
Standard rate,1,164
Standard rate,1,165
Standard rate,1,166
Standard rate,1,167
Standard rate,1,168
Standard rate,1,169
JFK,2,170
Standard rate,1,171
Standard rate,1,172
Standard rate,1,173
Standard rate,1,174
Standard rate,1,175
Standard rate,1,176
Standard rate,1,177
Standard rate,1,178
Standard rate,1,179
Standard rate,1,180
Standard rate,1,181
Standard rate,1,182
Standard rate,1,183
Standard rate,1,184
Standard rate,1,185
Standard rate,1,186
Standard rate,1,187
Standard rate,1,188
Standard rate,1,189
Standard rate,1,190
Standard rate,1,191
Standard rate,1,192
Standard rate,1,193
Standard rate,1,194
Standard rate,1,195
Standard rate,1,196
Standard rate,1,197
Standard rate,1,198
Standard rate,1,199
Standard rate,1,200
Standard rate,1,201
Standard rate,1,202
Standard rate,1,203
Standard rate,1,204
Standard rate,1,205
Standard rate,1,206
Standard rate,1,207
Standard rate,1,208
Standard rate,1,209
Standard rate,1,210
Standard rate,1,211
Standard rate,1,212
Standard rate,1,213
Standard rate,1,214
Negotiated fare,5,215
Standard rate,1,216
Standard rate,1,217
JFK,2,218
Standard rate,1,219
Standard rate,1,220
Standard rate,1,221
Standard rate,1,222
Standard rate,1,223
Standard rate,1,224
Standard rate,1,225
Standard rate,1,226
Standard rate,1,227
Standard rate,1,228
Standard rate,1,229
Standard rate,1,230
JFK,2,231
Standard rate,1,232
Standard rate,1,233
Standard rate,1,234
Standard rate,1,235
Standard rate,1,236
Standard rate,1,237
Standard rate,1,238
Standard rate,1,239
Standard rate,1,240
Standard rate,1,241
Standard rate,1,242
Standard rate,1,243
Standard rate,1,244
Standard rate,1,245
Standard rate,1,246
Standard rate,1,247
Standard rate,1,248
Standard rate,1,249
Standard rate,1,250
Standard rate,1,251
Standard rate,1,252
Standard rate,1,253
Standard rate,1,254
Standard rate,1,255
Standard rate,1,256
JFK,2,257
Standard rate,1,258
Standard rate,1,259
Standard rate,1,260
Standard rate,1,261
Standard rate,1,262
Standard rate,1,263
Standard rate,1,264
Standard rate,1,265
Standard rate,1,266
Standard rate,1,267
Standard rate,1,268
Standard rate,1,269
Standard rate,1,270
Standard rate,1,271
Standard rate,1,272
Standard rate,1,273
Standard rate,1,274
Standard rate,1,275
Standard rate,1,276
Standard rate,1,277
Standard rate,1,278
Standard rate,1,279
Standard rate,1,280
Standard rate,1,281
Standard rate,1,282
Standard rate,1,283
Standard rate,1,284
Standard rate,1,285
Standard rate,1,286
Standard rate,1,287
Standard rate,1,288
Standard rate,1,289
Standard rate,1,290
Standard rate,1,291
Standard rate,1,292
